Date,Symbol,Open,High,Low,Last,Close
2020-08-18,ABB,935,939.5,930.05,933.9,933.1
2020-08-19,ABB,933.9,965.55,933.9,965,961.85
2020-08-20,ABB,959,974.2,949.5,970.1,968.8
2020-08-21,ABB,977,998,975,990,982.85
2020-08-24,ABB,986,996.5,966.25,974,971.25
2020-08-25,ABB,972,988.1,963.45,969,969.25
2020-08-26,ABB,973,979,950,961.85,959.25
2020-08-27,ABB,964,985,961.9,971,970.9
2020-08-28,ABB,972,994.7,972,987,985.6
2020-08-31,ABB,993,1009,941.45,952.2,950.75
2020-09-01,ABB,952.2,961.15,936.3,960,945.6
2020-09-02,ABB,952.35,985,951,975,974.75
2020-09-03,ABB,979.9,990.8,971.75,980.45,981.35
2020-09-04,ABB,960.25,968.9,945.05,946.5,947.6
2020-09-07,ABB,955.85,957.35,920.6,929.9,925.05
2020-09-08,ABB,928.7,943.7,900,901,901.15
2020-09-09,ABB,899,914.5,894.7,902.9,901.8
2020-09-10,ABB,907,912,895.95,899.2,899.25
2020-09-11,ABB,903,903,893.55,899.25,898.4
2020-09-14,ABB,902.7,913,902,905,907.55
2020-09-15,ABB,913.7,923,912,916.2,915
2020-09-16,ABB,919.2,920.95,906.45,911,908.55
2020-09-17,ABB,907.65,922.5,902,922,916.3
2020-09-18,ABB,922.9,924.8,898.45,901,900.8
2020-09-21,ABB,904,905.9,896.3,901,898.75
2020-09-22,ABB,892,900.25,866,894.25,892.95
2020-09-23,ABB,897.3,900.05,882.05,885.15,884.3
2020-09-24,ABB,880,884.9,855.25,860,858.6
2020-09-25,ABB,864.95,875.95,846.6,851,852.3
2020-09-28,ABB,855,872.9,849.9,864,861.25
2020-09-29,ABB,867.9,874.85,853,855.75,854.95
2020-09-30,ABB,861.3,864.85,855.05,863.35,859.5
2020-10-01,ABB,866.05,873,859.9,867,861
2020-10-05,ABB,865,878,865,871.05,870.75
2020-10-06,ABB,872,879.9,870.15,871.6,872.1
2020-10-07,ABB,875.7,886.75,865,876.9,876.75
2020-10-08,ABB,878.95,887,860,863.9,864.95
2020-10-09,ABB,864,880.9,863.9,875,870.7
2020-10-12,ABB,874.9,885,864.45,867.05,866.45
2020-10-13,ABB,867,872.4,857,858.6,861.55
2020-10-14,ABB,859.95,867.7,848,855,859.2
2020-10-15,ABB,860.5,868.05,853,855,858.55
2020-10-16,ABB,855.1,867,850.7,862,863.8
2020-10-19,ABB,866,900.4,857.05,895.6,896.45
2020-10-20,ABB,895,895.9,882,885,884.85
2020-10-21,ABB,882,904.5,882,896.85,901.65
2020-10-22,ABB,901.65,923.3,898,916.25,917.2
2020-10-23,ABB,919.9,924.45,905.2,913.25,918
2020-10-26,ABB,915,917.4,880.05,888.95,889.05
2020-10-27,ABB,886.8,936.95,884.15,925,929.55
2020-10-28,ABB,933.8,937.2,902.85,904.8,907.05
2020-10-29,ABB,900,900,882,886.1,886.8
2020-10-30,ABB,888.3,909,883.85,889,893.7
2020-11-02,ABB,888,900.4,868.6,875.5,875.65
2020-11-03,ABB,880.05,892.75,875,880,877.4
2020-11-04,ABB,884.9,888.95,871.25,878.45,878.8
2020-11-05,ABB,892.75,905,881,898.8,894.15
2020-11-06,ABB,914,941.75,905.1,935.1,937.85
2020-11-09,ABB,935.1,954.75,935.1,947.1,949.3
2020-11-10,ABB,952.6,970,940,942.95,948.75
2020-11-11,ABB,946.95,958.75,936,943,944.25
2020-11-12,ABB,949.4,975.55,949.4,961,967.7
2020-11-13,ABB,967.7,1006,958.6,1002,1000.25
2020-11-14,ABB,1006,1010,972.05,984.9,986.15
2020-11-17,ABB,997,1006.55,980,980.8,982.85
2020-11-18,ABB,980.35,1089.9,980.35,1079,1078.9
2020-11-19,ABB,1078,1089.95,1033.35,1044,1044.55
2020-11-20,ABB,1049,1135,1044,1133,1116.05
2020-11-23,ABB,1129,1163,1050,1058.8,1072.75
2020-11-24,ABB,1074.9,1087.85,1051.1,1068.5,1072.3
