Date,Open,High,Low,Last,Close,Volume
2020-07-24,910.0,919.0,895.0,913.0,912.6,242177.0
2020-07-27,912.1,912.1,890.0,894.0,893.55,106000.0
2020-07-28,898.5,899.4,891.0,895.4,894.5,52148.0
2020-07-29,897.0,902.0,875.0,880.0,880.95,118544.0
2020-07-30,873.8,892.95,862.6,869.05,865.15,108002.0
2020-07-31,870.5,897.4,865.5,896.5,894.95,151890.0
2020-08-03,900.1,919.4,869.45,876.0,881.6,119427.0
2020-08-04,882.6,909.7,881.6,905.95,905.3,294577.0
2020-08-05,910.0,922.0,896.0,901.65,900.1,92645.0
2020-08-06,904.0,904.0,886.15,891.95,889.4,62322.0
2020-08-07,889.4,904.35,879.4,884.0,881.8,95492.0
2020-08-10,886.65,899.0,874.6,891.0,892.0,199349.0
2020-08-11,896.85,917.6,892.0,906.7,903.4,165785.0
2020-08-12,903.45,924.8,903.45,908.65,908.15,192428.0
2020-08-13,909.5,939.25,908.55,938.45,932.4,220454.0
2020-08-14,945.0,959.0,933.55,945.0,949.4,370866.0
2020-08-17,954.0,960.0,923.0,927.6,929.8,129446.0
2020-08-18,935.0,939.5,930.05,933.9,933.1,45097.0
2020-08-19,933.9,965.55,933.9,965.0,961.85,189052.0
2020-08-20,959.0,974.2,949.5,970.1,968.8,120158.0
2020-08-21,977.0,998.0,975.0,990.0,982.85,306358.0
2020-08-24,986.0,996.5,966.25,974.0,971.25,92187.0
2020-08-25,972.0,988.1,963.45,969.0,969.25,202487.0
2020-08-26,973.0,979.0,950.0,961.85,959.25,450210.0
2020-08-27,964.0,985.0,961.9,971.0,970.9,515635.0
2020-08-28,972.0,994.7,972.0,987.0,985.6,248761.0
2020-08-31,993.0,1009.0,941.45,952.2,950.75,297129.0
2020-09-01,952.2,961.15,936.3,960.0,945.6,82705.0
2020-09-02,952.35,985.0,951.0,975.0,974.75,106159.0
2020-09-03,979.9,990.8,971.75,980.45,981.35,56835.0
2020-09-04,960.25,968.9,945.05,946.5,947.6,142693.0
2020-09-07,955.85,957.35,920.6,929.9,925.05,712824.0
2020-09-08,928.7,943.7,900.0,901.0,901.15,183592.0
2020-09-09,899.0,914.5,894.7,902.9,901.8,366227.0
2020-09-10,907.0,912.0,895.95,899.2,899.25,230526.0
2020-09-11,903.0,903.0,893.55,899.25,898.4,172447.0
2020-09-14,902.7,913.0,902.0,905.0,907.55,357451.0
2020-09-15,913.7,923.0,912.0,916.2,915.0,142131.0
2020-09-16,919.2,920.95,906.45,911.0,908.55,70043.0
2020-09-17,907.65,922.5,902.0,922.0,916.3,155361.0
2020-09-18,922.9,924.8,898.45,901.0,900.8,79802.0
2020-09-21,904.0,905.9,896.3,901.0,898.75,98225.0
2020-09-22,892.0,900.25,866.0,894.25,892.95,69644.0
2020-09-23,897.3,900.05,882.05,885.15,884.3,76188.0
2020-09-24,880.0,884.9,855.25,860.0,858.6,107682.0
2020-09-25,864.95,875.95,846.6,851.0,852.3,174158.0
2020-09-28,855.0,872.9,849.9,864.0,861.25,79765.0
2020-09-29,867.9,874.85,853.0,855.75,854.95,532383.0
2020-09-30,861.3,864.85,855.05,863.35,859.5,340893.0
2020-10-01,866.05,873.0,859.9,867.0,861.0,226679.0
2020-10-05,865.0,878.0,865.0,871.05,870.75,59775.0
2020-10-06,872.0,879.9,870.15,871.6,872.1,82327.0
2020-10-07,875.7,886.75,865.0,876.9,876.75,85730.0
2020-10-08,878.95,887.0,860.0,863.9,864.95,79361.0
2020-10-09,864.0,880.9,863.9,875.0,870.7,642606.0
2020-10-12,874.9,885.0,864.45,867.05,866.45,176524.0
2020-10-13,867.0,872.4,857.0,858.6,861.55,188240.0
2020-10-14,859.95,867.7,848.0,855.0,859.2,82812.0
2020-10-15,860.5,868.05,853.0,855.0,858.55,163287.0
2020-10-16,855.1,867.0,850.7,862.0,863.8,32896.0
2020-10-19,866.0,900.4,857.05,895.6,896.45,130070.0
2020-10-20,895.0,895.9,882.0,885.0,884.85,33587.0
2020-10-21,882.0,904.5,882.0,896.85,901.65,150828.0
2020-10-22,901.65,923.3,898.0,916.25,917.2,113581.0
2020-10-23,919.9,924.45,905.2,913.25,918.0,45456.0
2020-10-26,915.0,917.4,880.05,888.95,889.05,55576.0
