Date,Open,High,Low,Last,Close,Volume
2020-05-13,343.5,348.4,332.3,337.2,338.05,72818140.0
2020-05-14,330.0,334.5,325.65,327.5,327.4,33999679.0
2020-05-15,329.3,330.55,318.8,322.0,322.7,31829841.0
2020-05-18,320.0,320.5,293.25,300.6,298.5,74034470.0
2020-05-19,307.05,311.5,297.1,300.8,300.3,61828639.0
2020-05-20,299.0,308.25,297.5,307.0,305.65,42239472.0
2020-05-21,306.0,312.8,302.0,304.1,304.4,43076017.0
2020-05-22,301.0,307.7,285.55,292.4,291.05,80359014.0
2020-05-26,296.05,297.9,290.0,293.9,292.7,46684636.0
2020-05-27,296.1,321.95,294.85,318.9,318.85,80543561.0
2020-05-28,322.25,329.75,320.75,325.75,326.85,66136528.0
2020-05-29,322.9,334.3,320.0,330.0,331.95,60488688.0
2020-06-01,339.0,348.0,336.2,337.85,339.25,44025817.0
2020-06-02,337.0,350.0,332.5,349.0,348.4,47558564.0
2020-06-03,357.9,373.0,353.8,357.5,356.85,69689849.0
2020-06-04,357.0,363.0,345.5,348.2,347.85,57061955.0
2020-06-05,350.0,360.0,347.0,359.8,357.2,37251290.0
2020-06-08,366.55,373.75,353.15,361.0,359.8,46827650.0
2020-06-09,360.05,369.35,345.25,346.3,348.55,47622914.0
2020-06-10,348.55,356.85,345.3,356.45,353.0,36292503.0
2020-06-11,352.45,354.2,340.1,341.75,341.25,37000065.0
2020-06-12,324.2,346.15,324.1,343.0,344.2,47509639.0
2020-06-15,341.2,342.25,325.5,331.15,331.1,43501834.0
2020-06-16,342.25,347.9,326.05,342.4,342.95,57511276.0
2020-06-17,338.6,351.0,336.1,342.25,341.95,37107569.0
2020-06-18,340.0,354.7,337.2,351.4,352.0,39286577.0
2020-06-19,351.0,365.45,349.2,363.8,363.8,51368058.0
2020-06-22,367.0,375.25,365.15,367.85,367.55,40135946.0
2020-06-23,369.0,378.3,364.2,376.05,376.15,32495431.0
2020-06-24,380.0,380.0,345.0,349.35,348.1,57956306.0
2020-06-25,345.9,355.6,338.5,350.5,351.0,69905394.0
2020-06-26,355.6,358.5,346.1,351.0,349.1,34596718.0
2020-06-29,345.25,345.6,338.5,342.5,343.1,27385252.0
2020-07-01,354.25,365.75,351.6,362.4,364.05,36922717.0
2020-07-02,366.0,370.9,361.35,363.6,362.85,50964872.0
2020-07-03,364.65,367.15,359.8,360.8,361.0,28779331.0
2020-07-06,367.85,367.85,360.5,362.4,361.85,33334119.0
