Date,Open,High,Low,Last,Close,Volume
2021-03-24,215.8,217.8,212.55,215.0,216.45,643269.0
2021-03-25,216.4,216.4,206.2,208.45,208.15,582481.0
2021-03-26,210.0,216.05,208.35,212.0,213.6,878323.0
2021-03-30,215.0,215.5,210.0,210.45,210.4,406791.0
2021-03-31,210.0,214.0,209.8,211.0,212.3,284171.0
2021-04-01,213.0,217.0,213.0,214.5,214.7,316416.0
2021-04-05,213.1,213.9,207.45,209.8,209.55,306058.0
2021-04-06,210.8,216.05,207.0,214.65,215.1,508713.0
2021-04-07,219.7,221.4,210.55,213.15,213.15,1414481.0
2021-04-08,214.5,217.0,212.0,212.8,212.65,388501.0
2021-04-09,212.4,215.4,210.8,211.5,211.4,323985.0
2021-04-12,207.15,208.0,200.1,201.5,201.35,534590.0
2021-04-13,201.85,205.35,199.0,201.55,201.95,442698.0
2021-04-15,200.2,203.85,198.35,200.0,200.3,556986.0
2021-04-16,201.7,204.5,200.65,201.45,201.15,286497.0
2021-04-19,196.1,197.95,193.0,194.5,194.95,318072.0
2021-04-20,196.2,198.9,195.4,195.8,196.35,224583.0
2021-04-22,195.4,195.4,191.85,192.45,192.7,496246.0
2021-04-23,192.95,198.25,192.0,194.7,195.2,290914.0
2021-04-26,196.95,204.0,195.6,203.2,203.15,580233.0
2021-04-27,203.45,205.85,200.7,202.4,202.6,276237.0
2021-04-28,202.9,205.15,202.0,202.5,202.6,273638.0
2021-04-29,204.9,204.9,201.0,201.45,201.3,170920.0
2021-04-30,200.3,206.9,199.95,200.8,200.3,479986.0
2021-05-03,199.4,205.8,198.55,203.3,203.5,327197.0
2021-05-04,204.7,208.45,200.1,201.55,201.6,437238.0
2021-05-05,202.5,212.5,202.5,210.7,210.0,1132174.0
2021-05-06,212.0,212.0,205.4,207.75,208.4,497711.0
2021-05-07,209.0,211.7,207.0,207.5,208.2,295344.0
2021-05-10,208.95,210.4,207.8,208.35,209.45,381164.0
2021-05-11,207.0,216.5,205.95,213.0,213.25,883690.0
2021-05-12,214.0,216.55,207.0,208.4,209.05,539254.0
2021-05-14,209.0,211.4,206.1,206.4,206.45,244697.0
2021-05-17,208.1,210.75,206.6,208.0,207.8,220007.0
2021-05-18,208.0,209.5,203.6,205.6,205.75,343426.0
2021-05-19,206.5,220.9,206.0,219.0,217.3,1592553.0
2021-05-20,220.5,225.0,212.2,213.15,213.55,2664652.0
2021-05-21,215.0,216.6,209.8,211.05,210.7,734531.0
2021-05-24,210.8,213.2,209.0,210.6,210.8,368806.0
2021-05-25,211.1,219.9,211.1,215.55,215.5,832169.0
2021-05-26,216.1,222.05,214.2,217.5,217.2,1128076.0
2021-05-27,218.0,219.8,214.2,216.1,215.7,386932.0
2021-05-28,217.0,218.8,212.0,212.85,212.45,371944.0
2021-05-31,213.7,214.6,209.05,209.65,209.7,666791.0
2021-06-01,212.0,212.85,207.1,209.4,208.35,621039.0
2021-06-02,209.7,214.2,208.4,210.6,210.45,563903.0
2021-06-03,212.7,226.0,211.6,216.95,217.15,4662251.0
2021-06-04,218.45,231.0,217.5,229.2,228.8,5123402.0
2021-06-07,235.0,274.55,234.5,274.55,274.0,23401558.0
2021-06-08,275.0,287.75,262.4,272.5,273.85,15581347.0
2021-06-09,273.4,281.9,262.8,266.8,267.35,4829735.0
2021-06-10,269.0,296.0,268.8,273.2,273.65,13753010.0
2021-06-11,277.45,283.95,268.75,270.5,271.7,3142499.0
2021-06-14,269.5,269.5,253.0,256.85,256.4,2970235.0
2021-06-15,258.0,266.4,255.0,255.8,256.0,2346843.0
2021-06-16,257.0,263.4,251.05,258.0,259.85,2285343.0
2021-06-17,255.3,262.0,253.1,254.95,254.6,1019165.0
2021-06-18,256.7,258.7,245.75,253.95,253.65,1157139.0
2021-06-21,250.9,253.65,246.3,249.2,249.0,774483.0
2021-06-22,251.0,264.2,250.4,262.0,260.1,2520814.0
2021-06-23,264.9,267.0,252.1,255.9,256.05,1620387.0
2021-06-24,256.3,258.6,252.0,252.75,252.75,503715.0
2021-06-25,255.0,258.3,252.05,254.0,254.25,543576.0
2021-06-28,254.0,256.8,251.2,253.8,252.05,493644.0
2021-06-29,253.75,254.0,247.5,248.2,248.55,482481.0
2021-06-30,249.4,252.75,241.5,243.0,243.0,922593.0
2021-07-01,244.9,248.8,243.55,245.1,245.35,
2021-07-02,246.3,249.5,243.8,245.4,246.05,
2021-07-05,247.4,257.6,247.3,256.7,256.1,
2021-07-06,257.0,257.95,249.15,249.95,249.95,
2021-07-07,249.9,251.2,246.05,248.25,249.0,
2021-07-08,249.35,251.05,241.5,243.25,242.9,
2021-07-09,243.75,250.4,243.05,248.0,247.8,
2021-07-12,249.7,254.5,245.5,246.0,247.3,1341851.0
2021-07-13,248.0,250.0,246.35,247.0,247.45,442419.0
2021-07-14,247.65,254.2,246.7,250.75,251.25,1076078.0
2021-07-15,253.3,265.75,252.1,263.1,263.7,4072175.0
2021-07-16,266.0,268.9,258.8,259.4,260.3,1508517.0
